car_units_sold_100s,employee_satisfaction
66.81282654,82.29472774
86.66373757,45.3224018
33.17349437,38.09399814
41.58762021,29.88632225
55.04211592,46.25886774
60.31141272,88.20200723
36.57696554,13.45499179
73.22320933,26.35831442
36.56515202,12.47689375
56.41397876,41.69913666
46.11758237,24.67880625
34.58740063,64.66864977
76.79738843,72.07005481
54.43617122,75.08570196
43.75122284,56.49847178
91.26037343,60.37257407
73.32815737,77.02435478
57.21207399,14.40018618
45.41411013,53.53177898
77.84196574,51.18385577
49.63762024,77.96704447
39.58253087,13.06447683
44.56492965,58.22391251
50.87878602,49.78376892
53.98641037,78.68941521
54.61629546,47.12038826
54.80900763,72.66445868
61.76327561,40.06930633
53.03920961,44.8030334
41.66680566,6.55740053
62.15119256,37.13301388
71.29962453,79.20596828
55.97770856,15.36202304
51.70560753,78.970021
53.60763557,66.47656433
44.79757195,86.84110573
41.46843617,86.56776215
66.54846822,85.3559328
64.26364129,67.91511688
64.53682201,68.26997289
60.42108264,41.7336703
38.39402663,31.2328287
56.97197357,74.95709679
43.69804882,24.17035985
32.70999653,38.21183873
56.04804669,71.46004201
64.36273794,36.62780923
52.7559966,45.4076542
87.0461965,63.22454158
52.16321781,45.70800117
57.86492886,94.54767074
34.83246682,34.83252508
45.86077977,53.3484705
63.92813871,29.51745581
29.02082234,18.59109172
53.31846571,74.6498632
31.1700712,96.58419209
63.50725146,65.22593368
65.05788163,33.37651938
71.51092894,30.44181906
53.42373861,44.10528359
71.87694092,28.63516147
54.21698586,13.27773759
65.66638684,33.90480206
50.24927269,78.17119434
43.77095312,5.193123193
23.69835863,45.17161842
27.2691151,44.62013986
30.01155561,21.47618194
58.37692366,12.13624515
67.12154415,83.63167114
65.13746107,32.78760149
65.38973998,4.483123974
81.17246683,48.22271538
61.75445841,40.66022273
60.24286643,37.35191496
52.51005022,46.17421596
48.19507222,20.15135036
69.13498753,58.39105119
65.57595357,33.38282404
27.24514769,43.71792425
44.76783954,27.5437545
55.53444407,14.04021135
62.21052176,37.3507412
47.94289841,49.29707737
55.22636107,46.97318181
53.49551731,75.64549495
44.50445798,27.86641908
68.85827016,62.98065389
45.97638215,5.148260447
50.24034884,47.35059408
57.61248952,14.20320501
30.08834826,19.1533655
53.85084755,17.05303292
60.80878334,36.89903353
60.3606983,7.769511921
42.84131429,5.035902034
63.9312411,29.52710547
33.1642522,97.97790936
52.68366705,47.86912186
24.15769394,23.33401937
52.67030773,46.04426556
68.69083508,79.123026
35.50903352,13.78406825
69.35722745,58.54891264
64.89865054,86.65839099
39.97166947,59.60694128
53.89636743,14.89938736
63.95782496,65.70644847
53.92360192,48.2621902
51.55214594,18.9954853
63.990468,68.44508778
65.88071518,84.74754588
23.83749342,47.51674624
72.36140863,80.00424358
50.82723102,77.65740229
54.23562552,46.45325272
55.89954508,42.52574094
39.53950413,29.05875033
28.54566596,21.10171917
53.87586283,43.98615759
20.89373586,46.37682245
52.94352797,44.85544092
43.62701826,23.97931125
51.37847801,45.94193896
91.33102776,56.69589654
48.0152105,21.40749311
39.04287707,61.16561072
51.7160212,46.01982439
62.57599096,65.34364483
75.71478168,75.87208654
64.73154208,67.8512939
66.40329315,84.10631288
30.45947209,70.51040412
49.36337359,22.46969221
53.98710724,15.68843575
55.06384068,46.32350315
49.96445799,21.42148684
33.96300486,33.47908133
65.94716289,84.20769066
76.98758857,55.02540177
52.41827432,95.79655333
63.2483817,64.26246848
34.70229724,35.18288206
54.28314887,47.4982198
62.3437651,90.26625233
79.87773707,70.3122031
53.1675248,45.02492827
52.79021454,95.61054586
37.89274987,10.36205327
53.615547,45.25268805
35.51297378,13.93335486
53.61688492,66.46149199
22.08352842,25.41187412
62.63278307,65.14471561
43.20855727,24.13873508
40.9677506,59.83917006
57.61206691,44.41878136
35.87903598,63.30819676
51.75244704,76.81614219
45.57147841,54.53112204
47.14456122,51.07243531
65.80609933,83.04534913
46.6128831,24.9371595
77.99747632,69.32516226
66.16440418,61.78157589
44.83563431,25.34179744
66.47808207,34.62570252
52.2310101,45.97828388
78.66818366,49.09096749
63.73882847,65.61994701
62.02115625,40.23564735
50.11469965,49.46504018
71.16920347,78.54989445
49.99352708,80.05542668
64.83416791,35.69226764
53.00582832,97.36040494
76.1835196,73.87028197
51.62712467,18.5688151
68.28899273,29.75162917
53.49062951,47.15014288
34.47323036,37.19858545
