car_units_sold_100s,employee_satisfaction
70.36477762,85.28570071
89.85914521,43.45012938
30.13748766,44.20699624
49.77154169,35.31120483
53.79912615,53.67303461
53.79565927,84.00206769
45.88122505,17.84393862
70.43710489,21.9094844
29.95738809,3.628854175
65.0711386,32.09279254
50.43368907,16.70114459
45.90132251,62.42657202
69.84910504,80.31305943
53.79514212,70.57083205
30.26199942,63.82637102
90.02169623,58.1880261
90.20769004,85.31285722
53.79611095,8.456370635
50.45259073,61.42026875
69.55781021,46.93402379
49.63384037,93.62409568
45.93783129,24.25461671
45.89251694,59.25392121
50.10651363,62.32155352
53.79800347,79.15210105
53.79554619,56.23773678
65.04558322,82.21851151
53.79678787,43.15233238
49.74711396,45.51504896
29.97167908,10.72085479
65.07222095,37.14700035
90.0493673,97.35063116
65.0718189,16.94631526
49.86321033,69.78725975
49.58793757,61.27200678
30.33531625,92.77703097
45.8993077,82.70731811
69.57922915,97.50748956
69.97196201,77.86029655
70.39412733,80.32797445
53.79574521,29.69540075
29.92509752,34.16099766
53.79655579,84.96162973
45.8862415,16.4740136
29.65818512,33.75467882
53.79841469,70.65041907
69.80223015,46.07976861
49.80075859,43.68980166
90.14418008,66.22018217
50.26483739,45.93459202
53.79582146,90.68203558
45.87684625,35.52581057
50.14190747,58.2503657
65.06371616,22.98869051
29.74234458,1.361899617
49.89556775,71.05836744
30.24477413,92.09413854
65.05251842,56.95842156
70.23948071,36.42904307
69.62914255,36.44185257
49.59277529,42.46065578
65.05644474,22.87545565
65.06961275,1.964486309
69.97321986,40.7360335
50.08566676,72.2013032
45.87639863,20.00818518
9.864439279,37.69836484
10.26938029,45.21670753
9.575599607,9.269478644
53.79541059,12.0754631
70.20787537,87.79826557
70.44344598,36.59332169
69.78511191,5.50060099
89.6478378,47.16504017
65.02767708,44.75574767
53.79592315,37.8271656
45.88993303,44.76805752
49.56239642,26.99732198
69.94833081,64.15350797
69.55121174,37.12788262
30.43987394,35.65416675
30.39099,22.66564008
65.06924708,0.506549946
53.79512437,30.53653614
50.42284614,56.07064258
65.07284644,57.81458935
49.55892926,67.88972575
45.89587258,29.3779852
70.03304251,48.40525669
50.16832267,4.627927129
50.15178781,62.79498552
69.68561776,18.96899819
30.34182994,23.70502341
53.79779202,26.08811324
65.05650721,34.3039813
65.08427656,8.084519254
29.9478111,2.678129743
53.80389977,21.39457411
30.13791758,77.3761525
50.45211742,52.84950525
29.58126574,21.50556597
50.3242391,37.76130245
70.36031278,91.32807628
45.89297538,17.4639182
70.44076524,63.88295709
70.20888574,92.39740913
45.8917935,60.57943928
53.79591136,23.60562624
65.07857384,52.67692932
53.79678921,49.26535464
50.20433834,1.284385343
70.27260152,68.8611694
69.61658661,92.37419893
29.84254009,48.97266411
70.01112698,87.37668956
50.47827306,75.06579408
53.80019525,48.94037804
53.79583514,38.09456277
45.87151896,27.2945604
45.87642578,16.1261428
53.79720009,42.4995843
30.2658579,46.34137194
49.94744161,43.56313075
29.87606824,16.56194275
45.88177432,40.78817665
89.54955585,56.01445738
50.06370234,12.38016114
29.66202972,58.34468828
53.66487614,42.64674744
65.07658769,56.90618498
69.68913961,78.54397678
69.78700494,70.86882759
69.90223159,88.14256729
30.11485343,78.47669048
49.9495923,17.26640653
53.79640302,27.447856
65.04991134,47.5098504
50.38413205,17.54863811
30.26572163,32.85396724
70.06318481,83.55434676
70.3169425,55.142979
50.22352012,82.80303719
53.79622409,56.21384141
50.17430593,33.04249657
53.79634583,46.49571059
53.79862416,95.48037645
89.56428169,75.04576812
50.26033642,39.74991785
50.37636922,90.7225044
30.08799835,13.71587846
49.64918495,32.35872537
29.82651362,12.99237731
49.90305633,63.20367818
9.725177878,26.85522213
53.80358509,65.45752522
50.25090325,29.50401052
30.22963625,54.7675207
65.03790344,31.84012116
45.87681662,59.66158385
49.64016742,73.49537232
45.88884368,50.87306019
50.23786171,60.3293602
69.7096316,72.51820246
50.26518641,18.51594799
70.32447882,85.90320817
70.10389966,53.16883468
30.39602422,22.94948429
70.45597187,43.21922121
49.66298663,38.22214297
90.23242515,55.58875135
53.79714777,49.38230052
65.07083032,45.24025419
50.39723956,60.74244821
70.2375748,82.70351922
49.85608299,71.31154129
70.04473078,37.8335192
50.11274168,93.41060662
69.95981979,69.02723919
49.70737444,16.59203336
65.0707135,29.8925069
50.42706057,50.40740819
30.06996549,32.89334786
